seed,Test RMSE,Test normalized RMSE,R_Square
2,648371.1050957302,0.06056109648600762,0.9609538205018447
2,602363.3150704191,0.05626373932599128,0.9662985744469186
2,652814.1893664849,0.060976102727189375,0.9604168444231901
2,567256.996821091,0.052984634026485164,0.9701124053148911
2,606116.3144314071,0.056614288193185425,0.9658773155687373
2,598650.986880823,0.05591698934914791,0.9667126940456439
2,550929.6303916038,0.051459576530974806,0.9718081547297142
2,569074.671035478,0.05315441386801799,0.9699205594695145
2,504503.8358150263,0.04712317566009307,0.9763593078629498
2,560818.7951186193,0.05238327386185815,0.9707869863078726
2,614822.0125761873,0.05742744383997546,0.9648900623145074
2,660622.5855175492,0.06170544589037021,0.9594642626819582
2,549979.2694314714,0.05137080807514638,0.9719053334582249
2,569452.5632019683,0.053189710881990794,0.9698805978983334
2,500025.12612772355,0.04670484182724049,0.9767771830816608
2,611445.9120182429,0.05711209920165147,0.9652745938698026
2,578353.0832255464,0.05402106386439116,0.9689317098410629
2,637475.9126409045,0.059543431145426325,0.9622550546451025
2,568667.8420137716,0.05311641400737764,0.9699635514205897
2,564885.3954681648,0.05276311462620328,0.9703617924143976
