seed,Test RMSE,Test normalized RMSE,R_Square
1,522256.2099816397,0.04878133598881599,0.9746663090803056
1,520896.17739602947,0.048654302158970826,0.9747980826504624
1,521264.02219832403,0.048688660698992976,0.9747624760632918
1,518796.6835212018,0.04845819895491695,0.9750008280068416
1,519632.1918557307,0.04853623960241743,0.9749202421580326
1,522797.7596733204,0.048831919432266946,0.974613742675593
1,515505.46154307254,0.048150782399478495,0.9753170090602791
1,519309.8797736353,0.04850613404566301,0.9749513449346408
1,520494.80472791934,0.04861681194898271,0.9748369059864319
1,518964.55471107824,0.048473878961702306,0.9749846470255361
2,521716.3573121489,0.04873091105570545,0.9747186565365078
2,518609.11750797107,0.048440679353356234,0.9750189011655295
2,515687.96710280766,0.04816782932943186,0.9752995288167793
2,519140.97042136965,0.048490357069330234,0.9749676368027251
2,518576.59230214666,0.04843764133683656,0.9750220345076747
2,521994.7247620711,0.048756911964538074,0.9746916710664142
2,519942.3573142204,0.04856521060391733,0.974890293296917
2,519363.2374262027,0.048511117916659116,0.9749461973102681
2,520777.0710881976,0.04864317703549754,0.974809606498308
2,520918.2016575928,0.048656359334898446,0.9747959514566548
