seed,Test RMSE,Test normalized RMSE,R_Square
1,451161.11183654575,0.042140699068681335,0.9810942217902994
1,460675.24208048196,0.04302936630748185,0.9802884403913906
1,447297.7136015177,0.0417798383957788,0.9814166246596636
1,444400.3410880743,0.04150920934558902,0.9816565926957244
1,451023.18586318486,0.042127816094540464,0.9811057795208067
1,455909.09151948924,0.04258418406274178,0.9806942024447254
1,461391.870750239,0.04309630300110176,0.9802270658933269
1,455284.6673892821,0.04252585973320201,0.9807470496050763
1,450986.08934827836,0.042124351094942405,0.9811088874803476
1,454098.6801709222,0.04241508260911709,0.9808472243506359
2,463569.31822477025,0.043299687460344176,0.9800399966282631
2,452417.19181618077,0.042258023206421226,0.9809888038976959
2,461189.7768527611,0.04307742642266049,0.9802443835550863
2,448511.9276215607,0.04189325204398823,0.9813155965521673
2,448499.5136691115,0.041892092518885794,0.9813166308349666
2,464432.948051906,0.04338035479557596,0.9799655563629813
2,452333.8229466139,0.0422502361380061,0.9809958098025324
2,455345.14872575924,0.04253150899182136,0.9807419340297078
2,459535.9566618899,0.0429229513645299,0.9803858162489572
2,452574.82296156493,0.04227274674195479,0.9809755538323326
