seed,Test RMSE,Test normalized RMSE,R_Square
1,530281.588599444,0.049530946397098805,0.9738817340652236
1,629839.0635955081,0.058830111337908005,0.9631539932166004
1,613655.2230849039,0.05731845987939313,0.9650231968920029
1,507012.1684640485,0.04735746644569803,0.9761236460947749
1,615448.5020452292,0.05748596108246811,0.9648184734238028
1,591800.6033816203,0.05527712934798373,0.967470150841893
1,556154.8451194295,0.051947637659555235,0.9712708555899373
1,612154.4482978403,0.057178280025650716,0.9651940684623489
1,588671.1858961248,0.0549848261395363,0.9678132742602443
1,619221.524761925,0.05783838023099876,0.9643857886950059
2,627647.616394024,0.058625419234311756,0.9634099494127422
2,639450.080501702,0.059727828274412635,0.9620209117159336
2,621130.5261843519,0.05801669048947095,0.9641658597133477
2,544853.9561690056,0.05089207824192321,0.9724265277203288
2,651418.3805806627,0.06084572722172679,0.9605859321989354
2,624027.6088309448,0.058287292464650496,0.9638308043013806
2,615390.6593504784,0.057480558286152415,0.9648250861579853
2,534711.225576884,0.04994469659398508,0.9734435606187338
2,577684.7250901076,0.05395863587953897,0.9690034748129303
2,625248.6065432426,0.05840133974356609,0.9636891256011054
