seed,Test RMSE,Test normalized RMSE,R_Square
2,519659.6879580781,0.04853880787557791,0.9749175879197306
2,519659.6879580781,0.04853880787557791,0.9749175879197306
2,519659.6879580781,0.04853880787557791,0.9749175879197306
2,519659.6879580781,0.04853880787557791,0.9749175879197306
2,519659.6879580781,0.04853880787557791,0.9749175879197306
2,519659.6879580781,0.04853880787557791,0.9749175879197306
2,519659.6879580781,0.04853880787557791,0.9749175879197306
2,519659.6879580781,0.04853880787557791,0.9749175879197306
2,519659.6879580781,0.04853880787557791,0.9749175879197306
2,519659.6879580781,0.04853880787557791,0.9749175879197306
1,519659.6879580781,0.04853880787557791,0.9749175879197306
1,519659.6879580781,0.04853880787557791,0.9749175879197306
1,519659.6879580781,0.04853880787557791,0.9749175879197306
1,519659.6879580781,0.04853880787557791,0.9749175879197306
1,519659.6879580781,0.04853880787557791,0.9749175879197306
1,519659.6879580781,0.04853880787557791,0.9749175879197306
1,519659.6879580781,0.04853880787557791,0.9749175879197306
1,519659.6879580781,0.04853880787557791,0.9749175879197306
1,519659.6879580781,0.04853880787557791,0.9749175879197306
1,519659.6879580781,0.04853880787557791,0.9749175879197306
