seed,Test RMSE,Test normalized RMSE,R_Square
2,523507.76106729114,0.048898237105259354,0.9745447426962941
2,519000.7347320321,0.04847725835619203,0.97498115897405
2,520682.01073052856,0.04863429792375499,0.974818801946412
2,518548.8251867756,0.048435047749707354,0.97502470931981
2,518350.47172586917,0.04841652054670605,0.9750438125850074
2,516944.1181018483,0.04828516010073861,0.9751790477774512
2,516886.72122339526,0.048279798945889685,0.9751845592671383
2,516893.35530989786,0.04828041860267208,0.975183922265528
2,522815.51918087044,0.048833578258889274,0.974612017897405
2,523064.5146794531,0.04885683568090536,0.9745878296383993
1,518383.989118818,0.04841965123845401,0.9750405850645193
1,520461.7264980385,0.04861372227725667,0.9748401041899574
1,519106.7281342938,0.04848715866885371,0.9749709389389328
1,518543.5662300209,0.04843455653690509,0.9750252159001018
1,518543.97318231943,0.048434594548280405,0.975025176699732
1,517311.65466736566,0.04831948984990772,0.9751437408643605
1,520107.12704364717,0.04858060091882088,0.9748743762434994
1,519653.35457839986,0.04853821630631339,0.9749181993024282
1,514729.9966858956,0.04807835011237023,0.975391213494217
1,521153.0365403538,0.04867829408473753,0.9747732218845672
