seed,Test RMSE,Test normalized RMSE,R_Sqaure
1,579732.7567149475,0.05414993225265543,0.968783304916316
1,635763.2217751027,0.05938345727250178,0.9624575990274851
1,520715.9958145451,0.048637472300182366,0.9748155146691775
1,527750.0703626473,0.04929448996190326,0.9741305114887022
1,489295.07036720694,0.045702601077913844,0.9777631676007458
1,383787.4268338149,0.035847660705310966,0.9863191611316104
1,515627.1681781809,0.048162150406494623,0.9753053527787626
1,459410.75466731476,0.042911256873498275,0.9803965026831989
1,488871.5925761164,0.04566304613913826,0.9778016422561485
1,391736.90767487686,0.03659018188252805,0.9857465425473004
2,566759.9970599328,0.05293821176884217,0.9701647541455396
2,528199.9888568723,0.049336514594286555,0.9740863840757799
2,484972.82704586914,0.045298881984385,0.9781542955462056
2,472263.3461390786,0.04411175304937553,0.9792842948011502
2,681263.8738873232,0.06363344522089687,0.9568915942708421
2,456803.3726593332,0.042667714383525755,0.980618390210574
2,627878.7730625402,0.05864701042058667,0.9633829929120543
2,579996.9620084984,0.05417461034541603,0.9687548452670657
2,471884.2416191134,0.044076342795538716,0.979317540088613
2,539491.1906027945,0.050391169178680494,0.9729666444064595
